"","filename","species","current","cc","cn","gf","he","mp"
"161","Leucadendron tinctum_total_curr_2040.csv","Leucadendron tinctum",252000,252000,252000,252000,252000,252000
"162","Leucadendron tinctum_total_curr_2070.csv","Leucadendron tinctum",252000,252000,252000,252000,252000,252000
"163","Leucadendron verticillatum_total_curr_2010.csv","Leucadendron verticillatum",252000,252000,252000,252000,252000,252000
"164","Leucadendron verticillatum_total_curr_2040.csv","Leucadendron verticillatum",252000,252000,252000,252000,252000,252000
"165","Leucadendron verticillatum_total_curr_2070.csv","Leucadendron verticillatum",252000,252000,252000,252000,252000,252000
"166","Leucospermum arenarium_total_curr_2010.csv","Leucospermum arenarium",252000,252000,252000,252000,252000,252000
"167","Leucospermum arenarium_total_curr_2040.csv","Leucospermum arenarium",252000,252000,252000,252000,252000,252000
"168","Leucospermum arenarium_total_curr_2070.csv","Leucospermum arenarium",252000,252000,252000,252000,252000,252000
"169","Leucospermum bolusii_total_curr_2010.csv","Leucospermum bolusii",252000,252000,252000,252000,252000,252000
"170","Leucospermum bolusii_total_curr_2040.csv","Leucospermum bolusii",252000,252000,252000,252000,252000,252000
"171","Leucospermum bolusii_total_curr_2070.csv","Leucospermum bolusii",252000,252000,252000,252000,252000,252000
"172","Leucospermum catherinae_total_curr_2010.csv","Leucospermum catherinae",252000,252000,252000,252000,252000,252000
"173","Leucospermum catherinae_total_curr_2040.csv","Leucospermum catherinae",252000,252000,252000,252000,252000,252000
"174","Leucospermum catherinae_total_curr_2070.csv","Leucospermum catherinae",252000,252000,252000,252000,252000,252000
"175","Leucospermum conocarpodendron_total_curr_2010.csv","Leucospermum conocarpodendron",252000,252000,252000,252000,252000,252000
"176","Leucospermum conocarpodendron_total_curr_2040.csv","Leucospermum conocarpodendron",252000,252000,252000,252000,252000,252000
"177","Leucospermum conocarpodendron_total_curr_2070.csv","Leucospermum conocarpodendron",252000,252000,252000,252000,252000,252000
"178","Leucospermum cordifolium_total_curr_2010.csv","Leucospermum cordifolium",252000,252000,252000,252000,252000,252000
"179","Leucospermum cordifolium_total_curr_2040.csv","Leucospermum cordifolium",252000,252000,252000,252000,252000,252000
"180","Leucospermum cordifolium_total_curr_2070.csv","Leucospermum cordifolium",252000,252000,252000,252000,252000,252000
"181","Leucospermum erubescens_total_curr_2010.csv","Leucospermum erubescens",252000,252000,252000,252000,252000,252000
"182","Leucospermum erubescens_total_curr_2040.csv","Leucospermum erubescens",252000,252000,252000,252000,252000,252000
"183","Leucospermum erubescens_total_curr_2070.csv","Leucospermum erubescens",252000,252000,252000,252000,252000,252000
"184","Leucospermum gracile_total_curr_2010.csv","Leucospermum gracile",252000,252000,252000,252000,252000,252000
"185","Leucospermum gracile_total_curr_2040.csv","Leucospermum gracile",252000,252000,252000,252000,252000,252000
"186","Leucospermum gracile_total_curr_2070.csv","Leucospermum gracile",252000,252000,252000,252000,252000,252000
"187","Leucospermum heterophyllum_total_curr_2010.csv","Leucospermum heterophyllum",252000,252000,252000,252000,252000,252000
"188","Leucospermum heterophyllum_total_curr_2040.csv","Leucospermum heterophyllum",252000,252000,252000,252000,252000,252000
"189","Leucospermum heterophyllum_total_curr_2070.csv","Leucospermum heterophyllum",252000,252000,252000,252000,252000,252000
"190","Leucospermum hypophyllocarpodendron_total_curr_2010.csv","Leucospermum hypophyllocarpodendron",252000,252000,252000,252000,252000,252000
"191","Leucospermum hypophyllocarpodendron_total_curr_2040.csv","Leucospermum hypophyllocarpodendron",252000,252000,252000,252000,252000,252000
"192","Leucospermum hypophyllocarpodendron_total_curr_2070.csv","Leucospermum hypophyllocarpodendron",252000,252000,252000,252000,252000,252000
"193","Leucospermum lineare_total_curr_2010.csv","Leucospermum lineare",252000,252000,252000,252000,252000,252000
"194","Leucospermum lineare_total_curr_2040.csv","Leucospermum lineare",252000,252000,252000,252000,252000,252000
"195","Leucospermum lineare_total_curr_2070.csv","Leucospermum lineare",252000,252000,252000,252000,252000,252000
"196","Leucospermum muirii_total_curr_2010.csv","Leucospermum muirii",252000,252000,252000,252000,252000,252000
"197","Leucospermum muirii_total_curr_2040.csv","Leucospermum muirii",252000,252000,252000,252000,252000,252000
"198","Leucospermum muirii_total_curr_2070.csv","Leucospermum muirii",252000,252000,252000,252000,252000,252000
"199","Leucospermum mundii_total_curr_2010.csv","Leucospermum mundii",252000,252000,252000,252000,252000,252000
"200","Leucospermum mundii_total_curr_2040.csv","Leucospermum mundii",252000,252000,252000,252000,252000,252000
"201","Leucospermum mundii_total_curr_2070.csv","Leucospermum mundii",252000,252000,252000,252000,252000,252000
"202","Leucospermum parile_total_curr_2010.csv","Leucospermum parile",252000,252000,252000,252000,252000,252000
"203","Leucospermum parile_total_curr_2040.csv","Leucospermum parile",252000,252000,252000,252000,252000,252000
"204","Leucospermum parile_total_curr_2070.csv","Leucospermum parile",252000,252000,252000,252000,252000,252000
"205","Leucospermum patersonii_total_curr_2010.csv","Leucospermum patersonii",252000,252000,252000,252000,252000,252000
"206","Leucospermum patersonii_total_curr_2040.csv","Leucospermum patersonii",252000,252000,252000,252000,252000,252000
"207","Leucospermum patersonii_total_curr_2070.csv","Leucospermum patersonii",252000,252000,252000,252000,252000,252000
"208","Leucospermum pedunculatum_total_curr_2010.csv","Leucospermum pedunculatum",252000,252000,252000,252000,252000,252000
"209","Leucospermum pedunculatum_total_curr_2040.csv","Leucospermum pedunculatum",252000,252000,252000,252000,252000,252000
"210","Leucospermum pedunculatum_total_curr_2070.csv","Leucospermum pedunculatum",252000,252000,252000,252000,252000,252000
"211","Leucospermum pluridens_total_curr_2010.csv","Leucospermum pluridens",252000,252000,252000,252000,252000,252000
"212","Leucospermum pluridens_total_curr_2040.csv","Leucospermum pluridens",252000,252000,252000,252000,252000,252000
"213","Leucospermum pluridens_total_curr_2070.csv","Leucospermum pluridens",252000,252000,252000,252000,252000,252000
"214","Leucospermum praecox_total_curr_2010.csv","Leucospermum praecox",252000,252000,252000,252000,252000,252000
