"","filename","species","current","cc","cn","gf","he","mp"
"493","Serruria kraussii_presence_curr_2010.csv","Serruria kraussii",10845,10962,11175,10100,10311,11336
"494","Serruria kraussii_presence_curr_2040.csv","Serruria kraussii",10845,11563,12775,8740,9113,12591
"495","Serruria kraussii_presence_curr_2070.csv","Serruria kraussii",10845,12000,14040,7695,8207,13066
"496","Serruria leipoldtii_presence_curr_2010.csv","Serruria leipoldtii",2896,3111,2125,3390,2935,2574
"497","Serruria leipoldtii_presence_curr_2040.csv","Serruria leipoldtii",2896,3765,591,4400,2788,1785
"498","Serruria leipoldtii_presence_curr_2070.csv","Serruria leipoldtii",2896,2524,39,2805,588,445
"499","Serruria linearis_presence_curr_2010.csv","Serruria linearis",3702,1758,1563,1643,1822,1423
"500","Serruria linearis_presence_curr_2040.csv","Serruria linearis",3702,189,34,380,564,27
"501","Serruria linearis_presence_curr_2070.csv","Serruria linearis",3702,85,31,279,466,2
"502","Serruria meisneriana_presence_curr_2010.csv","Serruria meisneriana",4722,3605,3387,3061,3307,3236
"503","Serruria meisneriana_presence_curr_2040.csv","Serruria meisneriana",4722,1363,1029,623,920,741
"504","Serruria meisneriana_presence_curr_2070.csv","Serruria meisneriana",4722,558,384,177,383,207
"505","Serruria millefolia_presence_curr_2010.csv","Serruria millefolia",14535,14425,13793,15861,14857,13228
"506","Serruria millefolia_presence_curr_2040.csv","Serruria millefolia",14535,10694,8021,15339,9889,6865
"507","Serruria millefolia_presence_curr_2070.csv","Serruria millefolia",14535,12824,3535,24136,6198,1272
"508","Serruria nervosa_presence_curr_2010.csv","Serruria nervosa",8153,7824,7552,7157,7464,7405
"509","Serruria nervosa_presence_curr_2040.csv","Serruria nervosa",8153,6259,5157,4169,4788,4774
"510","Serruria nervosa_presence_curr_2070.csv","Serruria nervosa",8153,4456,2940,1680,2267,2300
"511","Serruria pinnata_presence_curr_2010.csv","Serruria pinnata",4504,4771,4985,4774,4947,4638
"512","Serruria pinnata_presence_curr_2040.csv","Serruria pinnata",4504,5448,6556,4827,5996,4572
"513","Serruria pinnata_presence_curr_2070.csv","Serruria pinnata",4504,6750,8527,5011,7178,4875
"514","Serruria reflexa_presence_curr_2010.csv","Serruria reflexa",3264,3329,3041,3807,3385,3355
"515","Serruria reflexa_presence_curr_2040.csv","Serruria reflexa",3264,3270,2408,4480,3171,3489
"516","Serruria reflexa_presence_curr_2070.csv","Serruria reflexa",3264,6439,11385,4629,13377,11957
"517","Serruria rosea_presence_curr_2010.csv","Serruria rosea",2530,2350,2423,2075,2211,2125
"518","Serruria rosea_presence_curr_2040.csv","Serruria rosea",2530,1655,1945,655,1188,801
"519","Serruria rosea_presence_curr_2070.csv","Serruria rosea",2530,888,1320,57,214,7
"520","Serruria roxburghii_presence_curr_2010.csv","Serruria roxburghii",13353,14613,14764,15473,14881,14251
"521","Serruria roxburghii_presence_curr_2040.csv","Serruria roxburghii",13353,18183,18616,21642,18738,16428
"522","Serruria roxburghii_presence_curr_2070.csv","Serruria roxburghii",13353,30104,27558,38226,30967,27028
"523","Serruria rubricaulis_presence_curr_2010.csv","Serruria rubricaulis",5945,5565,5323,5076,5352,5623
"524","Serruria rubricaulis_presence_curr_2040.csv","Serruria rubricaulis",5945,4184,3600,3172,3707,3835
"525","Serruria rubricaulis_presence_curr_2070.csv","Serruria rubricaulis",5945,3254,2725,1980,2909,2498
"526","Serruria trilopha_presence_curr_2010.csv","Serruria trilopha",4874,5772,5945,5792,6234,5352
